drug_name,category
sodium selenite,Selenium
androstanolone,Androstan derivatives
stanozolol,Androstan derivatives
metandienone,Androstan derivatives
metenolone,Androstan derivatives
oxymetholone,Androstan derivatives
quinbolone,Androstan derivatives
prasterone,Androstan derivatives
oxandrolone,Androstan derivatives
norethandrolone,Androstan derivatives
nandrolone,Estren derivatives
ethylestrenol,Estren derivatives
oxabolone cipionate,Estren derivatives
levocarnitine,Amino acids and derivatives
ademetionine,Amino acids and derivatives
glutamine,Amino acids and derivatives
mercaptamine,Amino acids and derivatives
carglumic acid,Amino acids and derivatives
betaine,Amino acids and derivatives
metreleptin,Amino acids and derivatives
alglucerase,Enzymes
imiglucerase,Enzymes
agalsidase alfa,Enzymes
agalsidase beta,Enzymes
laronidase,Enzymes
sacrosidase,Enzymes
alglucosidase alfa,Enzymes
galsulfase,Enzymes
idursulfase,Enzymes
velaglucerase alfa,Enzymes
taliglucerase alfa,Enzymes
elosulfase alfa,Enzymes
asfotase alfa,Enzymes
sebelipase alfa,Enzymes
velmanase alfa,Enzymes
idursulfase beta,Enzymes
cerliponase alfa,Enzymes
vestronidase alfa,Enzymes
pegvaliase,Enzymes
thioctic acid,Various alimentary tract and metabolism products
anethole trithione,Various alimentary tract and metabolism products
sodium phenylbutyrate,Various alimentary tract and metabolism products
nitisinone,Various alimentary tract and metabolism products
zinc acetate,Various alimentary tract and metabolism products
miglustat,Various alimentary tract and metabolism products
sapropterin,Various alimentary tract and metabolism products
teduglutide,Various alimentary tract and metabolism products
glycerol phenylbutyrate,Various alimentary tract and metabolism products
eliglustat,Various alimentary tract and metabolism products
sodium benzoate,Various alimentary tract and metabolism products
trientine,Various alimentary tract and metabolism products
uridine triacetate,Various alimentary tract and metabolism products
migalastat,Various alimentary tract and metabolism products
telotristat,Various alimentary tract and metabolism products
givosiran,Various alimentary tract and metabolism products
triheptanoin,Various alimentary tract and metabolism products
lumasiran,Various alimentary tract and metabolism products
sodium benzoate and sodium phenylacetate,Various alimentary tract and metabolism products
dicoumarol,Vitamin K antagonists
phenindione,Vitamin K antagonists
